36	-2:-1
32	1:2
30	1:-3
23	1:-2
20	4:5
18	-3:-4
17	2:-1
17	2:3
17	4:1
16	-4:-5
15	1:-1
14	3:4
14	-1:3
14	-2:-3
14	-1:-2
13	37:36
12	-3:-2
11	5:1
11	1:4
10	6:1
10	36:1
9	-1:1
9	-5:-1
8	-3:-1
7	1:-5
7	7:6
7	-1:-4
7	83:4
6	3:6
6	5:4
6	-5:-6
6	3:2
6	11:12
5	10:11
5	3:1
5	1:-9
5	4:-3
5	29:-4
5	-3:-7
5	-4:1
5	-9:-10
5	7:1
5	-6:-7
5	73:-4
4	-1:11
4	-1:6
4	-3:-5
4	25:24
4	2:-2
4	6:7
4	-1:-6
4	10:9
4	-15:-16
4	39:2
4	77:76
4	30:-3
4	33:29
4	-16:1
4	-1:2
4	79:83
4	2:1
3	-4:-3
3	24:1
3	11:1
3	33:32
3	-1:-10
3	6:9
3	23:22
3	-1:4
3	3:-3
3	4:3
3	2:-4
3	-1:16
3	36:-3
3	35:33
3	3:-2
3	77:79
3	-5:-2
3	8:7
3	-10:-11
3	4:6
3	9:8
3	2:5
3	-14:-15
3	79:82
3	5:8
3	8:1
3	77:73
3	1:7
3	12:11
3	16:15
3	54:17
3	19:18
3	79:78
3	9:-1
3	82:5
2	37:39
2	39:51
2	74:-3
2	33:-2
2	35:30
2	3:-6
2	10:1
2	33:31
2	-1:-14
2	9:12
2	35:39
2	31:37
2	7:10
2	1:3
2	-6:-3
2	-1:-5
2	26:-5
2	42:3
2	2:-5
2	4:-5
2	-24:-25
2	-8:-9
2	-4:-1
2	8:-5
2	51:12
2	31:30
2	20:-3
2	35:28
2	11:10
2	33:-4
2	-5:-4
2	78:1
2	67:-10
2	31:-6
2	24:-13
2	50:13
2	12:-5
2	37:42
2	-11:-12
2	2:-3
2	5:3
2	35:26
2	-8:-11
2	-3:-9
2	3:-8
2	28:-9
2	39:50
2	37:2
2	10:3
2	79:81
2	-5:-12
2	-22:-23
2	-1:12
2	7:8
2	12:1
2	-7:-8
2	81:4
2	-1:5
2	-7:-1
2	76:1
2	-1:-12
2	-9:-4
2	-7:-4
2	32:1
2	3:-12
2	4:2
2	35:24
2	-12:1
2	-12:-15
2	3:-9
2	13:14
2	77:74
2	39:54
2	8:9
2	79:2
2	77:67
2	-1:8
2	5:2
2	77:75
2	18:3
1	6:-11
1	3:-5
1	-3:-6
1	75:-8
1	17:-2
1	-15:-1
1	1:23
1	43:50
1	81:83
1	88:9
1	-1:-22
1	-13:-8
1	29:4
1	-1:24
1	56:57
1	6:-21
1	23:20
1	39:41
1	35:-8
1	18:1
1	32:-3
1	25:20
1	19:17
1	1:-13
1	63:-16
1	83:73
1	21:14
1	-1:-26
1	27:30
1	24:2
1	-8:-7
1	78:3
1	1:12
1	75:79
1	19:-2
1	9:1
1	15:-4
1	21:-4
