2,243:2,
1,1:-21,
1,225:-1,
2,-14:-15,
1,-297:-292,
1,62:1,
1,-5:-11,
1,229:230,
2,227:228,
1,231:217,
1,3:-220,
1,237:223,
2,247:2,
1,-9:224,
1,201:160,
1,22:23,
1,263:253,
2,-15:-1,
1,-140:-432,
2,219:225,
1,171:185,
1,-13:-14,
1,-4:-6,
1,215:223,
1,210:3,
5,11:1,
1,13:10,
1,4:-1,
1,21:-1,
1,-71:-21,
1,-1:13,
1,-54:-52,
3,-3:-4,
1,223:229,
1,11:13,
1,-21:-1,
1,411:409,
1,211:193,
1,160:-23,
1,-3:-6,
1,181:200,
1,1:231,
1,111:34,
1,1:-6,
1,8:-8,
1,-57:-56,
1,-13:-18,
1,248:1,
1,230:1,
1,-59:-2,
1,215:219,
1,4:-2,
1,4:11,
1,193:192,
1,10:1,
1,20:1,
1,244:3,
1,-56:-1,
1,-14:-12,
3,22:-1,
1,-10:-16,
1,68:67,
1,45:47,
1,243:245,
1,-16:2,
1,233:248,
1,-130:-129,
1,-11:-16,
1,2:-31,
1,22:21,
23,2:1,
21,3:1,
1,-16:-14,
5,5:1,
1,6:1,
1,66:45,
1,8:1,
2,9:1,
1,51:-2,
1,215:225,
43,1:-1,
13,2:-1,
1,-28:-27,
1,1:-103,
1,-74:1,
1,61:-2,
40,-1:-2,
1,13:25,
1,1:101,
4,219:2,
1,11:-2,
1,193:2,
1,23:25,
1,13:-1,
1,245:195,
1,-197:-2,
1,-1:-84,
1,1:78,
2,217:2,
1,-23:-21,
1,-74:-75,
1,227:178,
1,242:3,
1,21:20,
1,-18:-17,
1,-73:-2,
1,238:3,
2,9:11,
1,16:17,
1,-73:-74,
1,6:7,
1,1:-48,
1,227:172,
1,3:-2,
1,2:-2,
3,245:2,
1,17:11,
2,220:1,
1,243:237,
1,231:233,
1,2:-19,
1,261:259,
2,183:2,
2,-8:-2,
1,240:3,
1,7:-2,
1,9:4,
1,-1:5,
1,75:74,
1,223:227,
1,-1:9,
1,-50:-49,
1,-20:1,
2,-1:7,
1,1:15,
1,-19:-20,
2,21:22,
1,-77:-74,
1,423:419,
1,221:230,
4,-1:1,
1,46:-3,
2,-4:-5,
1,-3:-18,
13,1:-3,
1,199:99,
2,235:2,
1,31:99,
1,210:1,
1,1:-8,
1,8:-9,
1,16:-5,
3,10:11,
1,241:244,
1,1:198,
3,-13:-1,
1,1:-13,
1,253:235,
1,46:47,
1,156:1,
1,-27:-41,
1,1:-42,
2,5:4,
1,-5:-3,
1,227:223,
1,-17:1,
3,-12:-13,
1,-1:-11,
1,222:3,
1,219:-18,
1,239:235,
10,3:2,
1,413:-2,
4,4:5,
1,-1:29,
1,-1:-29,
3,-5:-4,
11,1:-2,
1,-1:-35,
1,16:6,
4,-4:-1,
6,225:2,
1,221:222,
22,-3:-2,
1,63:62,
20,-1:-3,
1,192:-23,
1,-1:-19,
1,-16:-17,
1,-3:-9,
1,78:79,
1,-2:-20,
1,7:9,
1,8:9,
1,3:-4,
1,2:-4,
4,-4:-3,
1,215:201,
1,9:10,
2,76:75,
1,149:198,
1,-14:-13,
1,-21:-7,
1,-43:-2,
1,207:210,
1,217:220,
1,2:16,
1,-1:-141,
1,-2:411,
1,200:-61,
1,155:238,
1,237:225,
1,215:2,
1,241:227,
1,12:14,
2,199:201,
1,213:216,
1,257:253,
1,251:231,
1,230:3,
1,191:210,
1,241:239,
1,237:219,
1,13:12,
1,-215:-214,
1,215:217,
4,223:225,
1,225:195,
2,217:219,
1,-129:1,
1,178:3,
1,11:12,
1,200:1,
2,229:231,
1,169:245,
1,223:220,
1,415:411,
1,243:113,
1,167:170,
1,233:156,
2,99:2,
1,-1:-5,
1,-48:-47,
1,231:215,
1,190:192,
2,216:1,
1,97:201,
1,169:173,
1,266:3,
1,219:216,
1,199:203,
1,2:-44,
1,224:190,
1,241:242,
1,235:229,
1,53:55,
1,241:2,
1,-42:-41,
1,235:233,
1,2:-14,
1,1:-14,
1,3:5,
1,-104:-417,
1,223:233,
1,97:237,
1,221:231,
1,411:-6,
1,5:6,
1,2:-27,
1,193:195,
1,313:413,
1,201:207,
1,-2:-5,
1,211:-26,
1,217:213,
1,-1:407,
1,15:9,
1,197:200,
1,15:14,
1,-141:-140,
1,-10:-54,
1,5:7,
1,211:207,
2,3:7,
5,-3:-1,
1,225:151,
1,2:18,
1,-8:-7,
1,225:247,
1,3:-23,
1,57:54,
1,237:243,
1,229:251,
11,-2:-1,
1,239:242,
1,1:-45,
1,-14:-3,
1,241:243,
1,-423:-4,
1,197:213,
1,245:256,
1,3:18,
1,247:172,
1,101:100,
1,209:211,
